ID	NAME	logFC: WT NaCl response	FDR: WT NaCl response	logFC: msn24 mutant NaCl response	FDR: msn24 mutant NaCl response	logFC: yap1 mutant NaCl response	FDR: yap1 mutant NaCl response	logFC: skn7 mutant NaCl response	FDR: skn7 mutant NaCl response	logFC: WT EtOH response	FDR: WT EtOH response	logFC:  msn24 mutant EtOH response	FDR:  msn24 mutan  EtOH response	logFC:  yap1 mutant EtOH response	FDR:  yap1 mutant EtOH response	logFC:  skn7 mutant EtOH response	FDR:  skn7 mutant EtOH response	logFC: WT v msn24 mutant: NaCl response	FDR: WT v msn24 mutant: NaCl response	logFC: WT v yap1 mutant: NaCl response	FDR: WT v yap1 mutant: NaCl response	logFC: WT v skn7 mutant: NaCl response	FDR: WT v skn7 mutant NaCl response	logFC: WT v msn24 mutant: EtOH response	FDR: WT v msn24 mutant: EtOH response	logFC: WT v yap1 mutant: EtOH response	FDR: WT v yap1 mutant: EtOH response	logFC: WT v skn7 mutant: EtOH response	FDR: WT v skn7 mutant: EtOH response
YPR025C	CCL1          Cyclin partner of the cyclin-dependent kinase (CDK) Kin28p	-0.4447613	0.00369651	-0.50285747	0.001219218	-0.467520528	0.003006761	-0.675895214	4.83E-05	0.265743374	0.070509607	0.351153637	0.017029653	0.296673231	0.044954003	0.579318185	0.000159173	-0.058096161	0.936312149	-0.022759219	0.954122105	-0.231133905	0.411724123	0.085410263	0.795156197	0.030929857	0.95226165	0.31357481	0.345891054
YPR026W	ATH1          Acid trehalase required for utilization of extracellular trehalose	3.18599018	5.02E-28	2.360000939	5.85E-23	2.846048017	7.60E-26	2.181405555	1.29E-21	3.519386644	4.13E-30	2.027883822	4.96E-21	4.112483875	2.47E-32	3.42732368	1.06E-29	-0.825989239	0.000120261	-0.339942161	0.118898897	-1.004584623	2.11E-06	-1.491502822	1.54E-10	0.593097231	0.0101842	-0.092062964	0.782726088
YPR028W	YOP1          Reticulon-interacting protein	1.05078906	2.13E-10	0.272940851	0.040322532	1.595206913	1.34E-15	1.039087389	4.50E-10	1.051970184	1.71E-10	-0.186997182	0.162432896	1.238396753	1.83E-12	0.668344188	4.04E-06	-0.777848209	0.001228103	0.544417853	0.018846459	-0.011701671	0.968930858	-1.238967366	1.93E-07	0.186426569	0.58595638	-0.383625995	0.166568679
YPR029C	APL4          Gamma-adaptin	0.13005386	0.10681288	0.259551868	0.001805191	0.140320459	0.08616662	0.183739175	0.026703729	0.680667111	2.76E-11	0.867850973	2.46E-14	0.727925299	4.25E-12	0.818154207	1.30E-13	0.129498011	0.582061497	0.010266602	0.96099425	0.053685317	0.749669656	0.187183862	0.200980788	0.047258188	0.85292917	0.137487096	0.480498221
YPR030W	CSR2          Nuclear ubiquitin protein ligase binding protein	2.42341342	7.85E-18	2.039408497	1.99E-14	1.655745274	4.82E-11	0.977703302	7.33E-06	2.60582525	3.63E-19	2.223689883	6.25E-16	3.290428288	3.98E-22	2.804747867	6.11E-20	-0.384004926	0.432997261	-0.767668149	0.022870285	-1.445710121	1.35E-05	-0.382135366	0.266303859	0.684603039	0.06901929	0.198922617	0.679107746
YPR031W	NTO1          Subunit of the NuA3 histone acetyltransferase complex	-0.7157268	2.82E-06	-0.825531804	2.12E-07	-0.748321579	1.89E-06	-0.39386912	0.006166505	-1.94022735	3.66E-17	-2.095421208	2.25E-18	-2.02762576	1.35E-17	-1.785847227	4.54E-16	-0.109804971	0.845115377	-0.032594747	0.926852097	0.321857713	0.186652709	-0.155193858	0.614659437	-0.08739841	0.85497245	0.154380122	0.69775508
YPR032W	SRO7          Effector of Rab GTPase Sec4p	0.13124093	0.143977	0.276545364	0.002750609	-0.148412561	0.105744433	-0.007959825	0.937768283	0.595000244	1.29E-08	0.670427858	7.37E-10	0.528899711	1.74E-07	0.581225701	2.12E-08	0.145304429	0.578763158	-0.279653496	0.086045048	-0.13920076	0.403816571	0.075427614	0.693914885	-0.066100533	0.80639208	-0.013774543	0.964002724
YPR033C	HTS1          Cytoplasmic and mitochondrial histidine tRNA synthetase	-0.9888106	5.19E-16	-1.057029029	6.72E-17	-0.581113814	2.87E-09	-0.437872553	1.56E-06	-1.253831397	1.09E-19	-0.904143517	8.95E-15	-1.229352153	2.16E-19	-1.119802245	5.85E-18	-0.068218461	0.825882074	0.407696754	0.003865634	0.550938015	7.73E-05	0.34968788	0.010699793	0.024479244	0.93121817	0.134029152	0.498902386
YPR034W	ARP7          Component of both the SWI/SNF and RSC chromatin remodeling complexes	-0.3151295	0.00075353	-0.295597619	0.001564022	-0.352484752	0.000229638	0.000922093	0.993592383	-0.601614033	1.63E-08	-0.075154902	0.413017794	-0.627923026	6.25E-09	-0.325832436	0.000498531	0.019531868	0.970575986	-0.037355265	0.864106048	0.316051581	0.038110694	0.526459131	0.000573724	-0.026308993	0.93552087	0.275781597	0.143402755
YPR035W	GLN1          Glutamine synthetase (GS)	-2.1008486	4.99E-13	-1.823806414	2.39E-11	-1.315420086	6.24E-08	-2.186907426	2.91E-13	-0.9501472	1.98E-05	0.186803094	0.373628813	-0.402505365	0.050528378	0.287033046	0.163474209	0.277042181	0.672022693	0.785428509	0.032041523	-0.086058832	0.85098766	1.136950294	0.001074743	0.547641835	0.22924927	1.237180246	0.001659957
